word,label,formality
超常_v,3,0.1580412782825529
浙_n,3,0.5764883369891142
糟践_v,4,0.0711776077064483
阴冷_a,2,0.0913640071815946
木已成舟_i,4,0.8220323582982967
心满意足_i,2,0.1199322557405876
普照_v,3,0.3462454318205131
惊心动魄_i,3,0.1031973003363554
冲动_v,3,0.0093013424331358
书签_n,2,0.0377676250917633
眉清目秀_i,2,0.4836943538910355
晚_a,1,0.0255366508687511
原意_n,3,0.0671224190628566
休想_v,3,0.0608623664860489
笑话_v,2,0.0099703864796965
发霉_v,3,0.0102666347199042
馋_a,2,0.0520881243720228
身姿_n,4,0.4162091266805312
从来_d,1,0.0249816105878336
扫除_v,3,0.2358310747416818
义不容辞_i,3,0.2453259485826613
铅笔_n,1,0.0136533749868678
自尊心_v,2,0.0131044888484999
撵_v,4,0.0038357159682559
期望_v,3,0.079186552778229
倚老卖老_i,4,0.1034143153596496
往事_n,2,0.3188688171721888
顺手牵羊_i,3,0.0255359408460523
细碎_a,3,0.0996056425296699
偷懒_v,2,0.0125096539879986
自寻烦恼_i,3,0.0816072979222147
蟋蟀_n,3,0.1483882795255672
耽搁_v,4,0.01748533831959
毫不_d,2,0.0595174106088968
制服_v,3,0.0468370665731899
博大精深_i,4,0.1774602490132488
机不可失_i,4,0.288137270867046
圆圈_n,2,0.0074344685537987
成熟_v,2,0.0749722078199008
畏惧_v,4,0.2258938874036085
不可理喻_i,3,0.2573878311429277
挑刺儿_v,3,0.0075480595312674
服气_v,3,0.0354462640739191
赖_a,3,0.0924381948195352
出其不意_i,3,0.3293116776835421
风筝_n,2,0.0073596224358056
渺茫_a,4,0.3858005238791324
劳模_n,2,0.0291687015017074
畅谈_v,3,0.4654813516786609
挤_a,1,0.01463872357951
毛遂自荐_i,3,0.1503930574443725
与世隔绝_i,3,0.1613833789328761
津津有味_i,3,0.0842245379095192
合影_v,2,0.0148384496222743
浓郁_a,4,0.0245410431657146
穷困潦倒_i,4,0.6096711303467238
欢呼_v,2,0.0316492825398572
预定_v,2,0.0894041903560694
窥探_v,4,0.5405324232472182
斑马线_n,2,0.0457902593019956
被褥_n,3,0.0241468423761643
先见之明_i,3,0.5304514181243967
摇头_v,1,0.0893912735421682
立交桥_n,2,0.0296143029803334
遥控_v,3,0.0567827952565484
秋千_n,2,0.0596514796158105
娇气_a,2,0.0074618129465007
酸甜苦辣_i,3,0.2244186775375115
咯咯_o,2,0.062312058324044
拔河_v,1,0.0100845702400228
身心_n,3,0.2167503069389032
自力更生_i,2,0.0142087247703733
潮_a,2,0.0893943246010481
飞速_a,2,0.058207496153028
声调_n,2,0.0165833410542973
无穷无尽_i,2,0.0213957107842791
终归_d,4,0.2859257409560584
心灵手巧_i,2,0.0258303928666755
侧_v,2,0.1427637634624966
漂移_v,3,0.0261309985775322
幽静_a,3,0.3846328680658371
威严_a,4,0.354854015689554
恐吓_v,3,0.0303420609631599
西红柿_n,1,0.0063209661082457
一刀两断_i,3,0.1154462059776947
送行_v,3,0.0790437619944328
繁体字_n,2,0.0536737703151551
相见恨晚_i,3,0.4424335306237595
原_a,2,0.6297688547251595
自助_v,2,0.0763655616016311
亭子_n,1,0.0312391445310166
嘀_o,2,0.1037762165043811
或者_d,3,0.0487561627040437
神出鬼没_i,3,0.2060358516640719
日理万机_i,3,0.418219213389399
口令_n,2,0.0399910239063194
婉约_a,4,0.8882591261455209
舒缓_a,3,0.1628875236239622
京剧_n,2,0.007244258423399
赤膊_v,4,0.0893811953945239
父爱_n,2,0.1089010726506381
欢腾_v,3,0.0270152369419871
男_a,1,0.0190408447242418
不和_a,2,0.0571151165758821
徒步_d,3,0.0566083422136765
阴森森_a,2,0.126386509837023
充当_v,3,0.0487473518149206
颠倒黑白_i,3,0.180718366560124
死_d,3,0.043509113837683
撩_v,4,0.0248291103390403
黑白_n,2,0.063005346964289
望梅止渴_i,2,0.4944477160527111
楷书_n,3,0.1133831316993709
斑马_n,2,0.1937649700198611
坏人_n,1,0.0020008552446029
团圆_v,2,0.0359257233594382
陡_a,3,0.0277314528207484
录制_v,4,0.0089962283139397
悄悄_d,2,0.0479274819925664
狂妄_a,4,0.3509807074230975
口味_v,3,0.0130516177216705
捧_q,1,0.0443274893483513
文静_a,2,0.30971110791385
孝顺_v,4,0.0641133778623569
所有_v,1,0.0770854319177749
凄惨_a,4,0.1508329799121184
嗷嗷_o,3,0.2285746170459113
餐桌_n,2,0.1379174647988059
轻浮_a,4,0.4168377868972289
恳求_v,3,0.1066283443327435
乞讨_v,3,0.0353711436432318
光辉_n,3,0.0446864011156189
耷拉_v,4,0.0373518088971897
山丘_n,3,0.1516399171312484
好歹_n,4,0.0697351475434266
杠铃_n,4,0.0648441662929022
嗡嗡_o,2,0.1826702740201765
袖珍_a,3,0.0216317850938726
坚信_v,2,0.0484783918601427
累赘_a,4,0.0959894538214307
瞄准_v,3,0.0229232778986607
萧瑟_a,4,0.932654578407376
吵闹_v,2,0.0088734253610848
乐不思蜀_i,4,0.5167333285496457
幻想_v,2,0.046208563153498
原汁原味_i,3,0.0203404761694891
犄角_n,4,0.0893270149354137
