word,label,formality
超常_v,3,0.4545615608578274
浙_n,3,0.4274737678457485
糟践_v,4,0.4428327056540317
阴冷_a,2,0.4623104837138463
木已成舟_i,4,0.2894352652551354
心满意足_i,2,0.2893858529721188
普照_v,3,0.4638133804457693
惊心动魄_i,3,0.2986772807412964
冲动_v,3,0.435984732219936
书签_n,2,0.3731770075848821
眉清目秀_i,2,0.2893858529721188
晚_a,1,0.4663723623331937
原意_n,3,0.3763842645859466
休想_v,3,0.4428327056540317
笑话_v,2,0.435984732219936
发霉_v,3,0.4638133804457693
馋_a,2,0.4646110808309862
身姿_n,4,0.3742071643633901
从来_d,1,0.4388997151885664
扫除_v,3,0.4853489196377128
义不容辞_i,3,0.308339355913062
铅笔_n,1,0.3734699106813415
自尊心_v,2,0.3019080416682413
撵_v,4,0.435984732219936
期望_v,3,0.4454715362516075
倚老卖老_i,4,0.2893858529721188
往事_n,2,0.3742071643633901
顺手牵羊_i,3,0.2920740958527112
细碎_a,3,0.4646110808309862
偷懒_v,2,0.4428327056540317
自寻烦恼_i,3,0.2893858529721188
蟋蟀_n,3,0.4151065234132058
耽搁_v,4,0.435984732219936
毫不_d,2,0.4454274929663442
制服_v,3,0.4459424973453444
博大精深_i,4,0.2948566582390373
机不可失_i,4,0.2894352652551354
圆圈_n,2,0.4054195319009747
成熟_v,2,0.5113803267627104
畏惧_v,4,0.4428327056540317
不可理喻_i,3,0.2893858529721188
挑刺儿_v,3,0.3019080416682413
服气_v,3,0.4428327056540317
赖_a,3,0.4646110808309862
出其不意_i,3,0.2920740958527112
风筝_n,2,0.4054195319009747
渺茫_a,4,0.4646110808309862
劳模_n,2,0.4337293669961227
畅谈_v,3,0.4615127833286295
挤_a,1,0.4646110808309862
毛遂自荐_i,3,0.2962240223044336
与世隔绝_i,3,0.2986772807412964
津津有味_i,3,0.2893858529721188
合影_v,2,0.4428327056540317
浓郁_a,4,0.4996946168020417
穷困潦倒_i,4,0.3130543534511315
欢呼_v,2,0.4428327056540317
预定_v,2,0.4454715362516075
窥探_v,4,0.435984732219936
斑马线_n,2,0.2727663141732038
被褥_n,3,0.3800249810189778
先见之明_i,3,0.2894352652551354
摇头_v,1,0.4428327056540317
立交桥_n,2,0.2906421575661806
遥控_v,3,0.4784270160265645
秋千_n,2,0.3800249810189778
娇气_a,2,0.4577631073968903
酸甜苦辣_i,3,0.2897734987355713
咯咯_o,2,0.4381037973112544
拔河_v,1,0.4784270160265645
身心_n,3,0.399127903860467
自力更生_i,2,0.308339355913062
潮_a,2,0.4646110808309862
飞速_a,2,0.4646110808309862
声调_n,2,0.3800249810189778
无穷无尽_i,2,0.2894352652551354
终归_d,4,0.4388997151885664
心灵手巧_i,2,0.2972605043928835
侧_v,2,0.4638133804457693
漂移_v,3,0.4638133804457693
幽静_a,3,0.4996946168020417
威严_a,4,0.4616962639016293
恐吓_v,3,0.435984732219936
西红柿_n,1,0.2879760137297297
一刀两断_i,3,0.2894352652551354
送行_v,3,0.4784270160265645
繁体字_n,2,0.2727169018901872
相见恨晚_i,3,0.2893858529721188
原_a,2,0.4761060034953903
自助_v,2,0.4428327056540317
亭子_n,1,0.4014285009776068
嘀_o,2,0.4381037973112544
或者_d,3,0.4454274929663442
神出鬼没_i,3,0.2973099166759001
日理万机_i,3,0.2920740958527112
口令_n,2,0.4174071205303457
婉约_a,4,0.4951029617240414
舒缓_a,3,0.4640443571017891
京剧_n,2,0.4246950393149912
赤膊_v,4,0.4428327056540317
父爱_n,2,0.3666219372472457
欢腾_v,3,0.4899405747157131
男_a,1,0.4577631073968903
不和_a,2,0.4677208725222987
徒步_d,3,0.4454274929663442
阴森森_a,2,0.3039875806235684
充当_v,3,0.4638133804457693
颠倒黑白_i,3,0.2894352652551354
死_d,3,0.4443950174190501
撩_v,4,0.4405321085368918
黑白_n,2,0.3666219372472457
望梅止渴_i,2,0.2911965467573429
楷书_n,3,0.4174071205303457
斑马_n,2,0.3673591909292944
坏人_n,1,0.3734699106813415
团圆_v,2,0.4638133804457693
陡_a,3,0.4761060034953903
录制_v,4,0.4633917848843014
悄悄_d,2,0.4431268958492043
狂妄_a,4,0.4623104837138463
口味_v,3,0.435984732219936
捧_q,1,0.4307417283457371
文静_a,2,0.4649567634021481
孝顺_v,4,0.435984732219936
所有_v,1,0.4428327056540317
凄惨_a,4,0.4646110808309862
嗷嗷_o,3,0.4364351009510699
餐桌_n,2,0.3742071643633901
轻浮_a,4,0.4577631073968903
恳求_v,3,0.4422933900390995
乞讨_v,3,0.4454715362516075
光辉_n,3,0.4031189347838348
耷拉_v,4,0.4428327056540317
山丘_n,3,0.4054195319009747
好歹_n,4,0.3666219372472457
杠铃_n,4,0.3648742675306493
嗡嗡_o,2,0.4312558238771586
袖珍_a,3,0.4646110808309862
坚信_v,2,0.4386235628175117
累赘_a,4,0.4577631073968903
瞄准_v,3,0.4876399775985732
萧瑟_a,4,0.4646110808309862
吵闹_v,2,0.4405321085368918
乐不思蜀_i,4,0.2894352652551354
幻想_v,2,0.4428327056540317
原汁原味_i,3,0.2948566582390373
犄角_n,4,0.3742071643633901
脚跟_n,2,0.3830050769895293
胀_a,3,0.4996946168020417
控诉_v,4,0.4377460137221435
务必_d,3,0.4480663235639199
奉陪_v,4,0.4428327056540317
蠢事_n,4,0.3666219372472457
预见_v,3,0.4386235628175117
将心比心_i,3,0.2893858529721188
积攒_v,4,0.4428327056540317
小雪_n,2,0.3938125210562023
糊里糊涂_i,2,0.2894352652551354
学业_n,3,0.3742071643633901
本质_n,3,0.3742071643633901
