word,label,formality
超常_v,3,0.3359534478277176
浙_n,3,0.4870795955030947
糟践_v,4,0.2941706664749983
阴冷_a,2,0.3139318931009456
木已成舟_i,4,0.5024741024724
心满意足_i,2,0.2216044140795063
普照_v,3,0.4167862009956668
惊心动魄_i,3,0.2204852885793199
冲动_v,3,0.2653113763052159
书签_n,2,0.2390132545876345
眉清目秀_i,2,0.3671092533396854
晚_a,1,0.2900380777474166
原意_n,3,0.2526795263767106
休想_v,3,0.2900445699868386
笑话_v,2,0.2655789939238402
发霉_v,3,0.2823946821554232
馋_a,2,0.2996018982474008
身姿_n,4,0.3910079492902465
从来_d,1,0.2733324733482733
扫除_v,3,0.3855417816793004
义不容辞_i,3,0.2831339929809017
铅笔_n,1,0.229543296403552
自尊心_v,2,0.1863866205403447
撵_v,4,0.2631251257192639
期望_v,3,0.2989575428622561
倚老卖老_i,4,0.2149972379271311
往事_n,2,0.3520718254869096
顺手牵羊_i,3,0.1854588338500476
细碎_a,3,0.3186089055104596
偷懒_v,2,0.2707034849876185
自寻烦恼_i,3,0.2062744309521571
蟋蟀_n,3,0.3084192258581503
耽搁_v,4,0.2685849746597976
毫不_d,2,0.2910634600233652
制服_v,3,0.2863003250364825
博大精深_i,4,0.2478980945487219
机不可失_i,4,0.2889160674998996
圆圈_n,2,0.2462255065621043
成熟_v,2,0.3368170791855865
畏惧_v,4,0.3560571783538624
不可理喻_i,3,0.2765866442404423
挑刺儿_v,3,0.1841640488134517
服气_v,3,0.2798781290219866
赖_a,3,0.3157419264264057
出其不意_i,3,0.3069691285850435
风筝_n,2,0.246195568114907
渺茫_a,4,0.4330868580502446
劳模_n,2,0.2719051007983565
畅谈_v,3,0.463100210668642
挤_a,1,0.2846221379303957
毛遂自荐_i,3,0.2378916363604091
与世隔绝_i,3,0.2437597200179282
津津有味_i,3,0.2073213269470789
合影_v,2,0.2716350032413288
浓郁_a,4,0.3096331873475108
穷困潦倒_i,4,0.4317010642093684
欢呼_v,2,0.2783593364083619
预定_v,2,0.3030445978933923
窥探_v,4,0.4778038086308488
斑马线_n,2,0.1819758922247205
被褥_n,3,0.2376737255618524
先见之明_i,3,0.3858417264028399
摇头_v,1,0.3014561328092863
立交桥_n,2,0.1862310157318417
遥控_v,3,0.309769327718558
秋千_n,2,0.2518755804577108
娇气_a,2,0.2776425896167344
酸甜苦辣_i,3,0.2636315702563473
咯咯_o,2,0.2877871017163702
拔河_v,1,0.2910900377119478
身心_n,3,0.3261768650918414
自力更生_i,2,0.1906871034559865
潮_a,2,0.3145243783390109
飞速_a,2,0.3020496469598028
声调_n,2,0.2346483250331056
无穷无尽_i,2,0.1822194434667929
终归_d,4,0.3777101254955632
心灵手巧_i,2,0.1886884597824003
侧_v,2,0.3353935336524602
漂移_v,3,0.2887404276984744
幽静_a,3,0.4536699173075598
威严_a,4,0.4189593646167991
恐吓_v,3,0.2737276637172255
西红柿_n,1,0.1753139946811361
一刀两断_i,3,0.2198396415441591
送行_v,3,0.3186737144137118
繁体字_n,2,0.1850996492601743
相见恨晚_i,3,0.3506049240327751
原_a,2,0.537571143987298
自助_v,2,0.2962458480330714
亭子_n,1,0.2533527583989707
嘀_o,2,0.3043727649885051
或者_d,3,0.286758960861424
神出鬼没_i,3,0.2608002906711688
日理万机_i,3,0.3425321428673863
口令_n,2,0.2664406818807351
婉约_a,4,0.6523654274926332
舒缓_a,3,0.3435816237106583
京剧_n,2,0.2577147269583543
赤膊_v,4,0.3014521015502286
父爱_n,2,0.2635335914086026
欢腾_v,3,0.3047704396062227
男_a,1,0.2822742023278309
不和_a,2,0.303478570143732
徒步_d,3,0.2898998326652771
阴森森_a,2,0.2329471523089502
充当_v,3,0.2977869689934298
颠倒黑白_i,3,0.2459485057771308
死_d,3,0.2840406559865032
撩_v,4,0.2742509092577512
黑白_n,2,0.245175301134063
望梅止渴_i,2,0.3724970144754902
楷书_n,3,0.2957975249979557
斑马_n,2,0.2979215025655211
坏人_n,1,0.224882288506646
团圆_v,2,0.2926583176112368
陡_a,3,0.2967561832255335
录制_v,4,0.2816335622561567
悄悄_d,2,0.2850471303065491
狂妄_a,4,0.4177785731975468
口味_v,3,0.2668114864206298
捧_q,1,0.2761760327467827
文静_a,2,0.4028585012068288
孝顺_v,4,0.2872361904769043
所有_v,1,0.296533796159529
凄惨_a,4,0.339099840463439
嗷嗷_o,3,0.3532909073890065
餐桌_n,2,0.2796912845375564
轻浮_a,4,0.4413929791970257
恳求_v,3,0.3080273717565571
乞讨_v,3,0.2814313792082572
光辉_n,3,0.2597459213165484
耷拉_v,4,0.2806403469512949
山丘_n,3,0.3039076859930841
好歹_n,4,0.247867221365718
杠铃_n,4,0.2448622270355504
嗡嗡_o,2,0.3318216039343657
袖珍_a,3,0.2874193625361407
坚信_v,2,0.2825654944345641
累赘_a,4,0.3130536459667065
瞄准_v,3,0.3017532977186082
萧瑟_a,4,0.6518284798615421
吵闹_v,2,0.2678686352665689
乐不思蜀_i,4,0.3803544905729396
幻想_v,2,0.2841830486538182
原汁原味_i,3,0.185050185411218
犄角_n,4,0.2602551045921995
脚跟_n,2,0.2444985051472635
胀_a,3,0.3125625954631217
控诉_v,4,0.2826659909420349
务必_d,3,0.3062532237512174
奉陪_v,4,0.343020005055915
蠢事_n,4,0.2326635765415079
预见_v,3,0.3365813645102104
将心比心_i,3,0.2067650788160313
积攒_v,4,0.2788624029421831
小雪_n,2,0.255552326893782
糊里糊涂_i,2,0.1787471948659247
学业_n,3,0.2531183585459996
本质_n,3,0.2291988581604873
